Gene,ExAC No. PP2>.95 Missense,ExAC No.Frameshift,ExAC No.StopGain,ExAC No.StartLost,ExAC No.SpliceSite
CCDC28B,15(7)[45],3(2)[5],1(1)[1],1(1)[1],6(5)[7]
CCDC30,45(28)[157],20(14)[17604],19(14)[124],0(0)[0],5(4)[6]
CCNL2,54(30)[191],4(3)[5],4(4)[4],1(1)[1],3(2)[6504]
CCSAP,13(7)[167],2(2)[2],3(3)[3],0(0)[0],0(0)[0]
CCT3,36(29)[47],0(0)[0],1(0)[2],1(1)[1],1(0)[4]
CD101,100(45)[1836],22(13)[72],15(10)[52],0(0)[0],3(2)[4]
CD160,14(7)[64],4(2)[9],2(1)[19],0(0)[0],3(2)[4]
CD164L2,25(13)[108],1(1)[1],2(2)[2],0(0)[0],1(1)[1]
CD1A,42(20)[259],4(3)[5],15(9)[159],1(0)[2],5(2)[9]
CD1B,19(9)[60],4(3)[5],10(6)[147],0(0)[0],3(3)[3]
CD1C,20(11)[334],6(5)[8],9(5)[218],1(1)[1],3(2)[5]
CD1D,16(10)[106],6(2)[85],6(3)[56],0(0)[0],1(0)[2]
CD1E,39(20)[183],6(3)[25],14(11)[21],1(0)[15],4(3)[5]
CD2,27(16)[237],2(2)[2],1(1)[1],0(0)[0],0(0)[0]
CD244,23(13)[408],2(2)[2],3(1)[27],0(0)[0],4(3)[5]
CD247,18(11)[61],0(0)[0],2(0)[31],0(0)[0],0(0)[0]
CD34,52(23)[495],3(2)[4],8(8)[8],1(0)[33],1(0)[6]
CD46,61(38)[855],3(2)[6],0(0)[0],0(0)[0],10(6)[21]
CD48,16(9)[12116],1(1)[1],5(4)[6],2(1)[4],1(1)[1]
CD52,2(1)[3],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
CD53,15(11)[26],4(3)[5],2(1)[3],0(0)[0],2(1)[3]
CD55,43(24)[558],9(7)[13],11(6)[19],0(0)[0],4(2)[15]
CD58,7(2)[30],0(0)[0],2(2)[2],0(0)[0],0(0)[0]
CD5L,44(32)[105],0(0)[0],12(7)[314],2(2)[2],0(0)[0]
CD84,25(15)[101],5(3)[14],3(1)[46],0(0)[0],5(3)[21]
CDA,13(8)[59],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
CDC14A,29(20)[68],4(1)[8],9(8)[12],0(0)[0],0(0)[0]
CDC20,22(18)[28],6(4)[14],6(4)[10],0(0)[0],3(1)[8]
CDC42,1(1)[1],1(1)[1],0(0)[0],0(0)[0],1(1)[1]
CDC42BPA,116(67)[881],8(8)[8],4(3)[5],0(0)[0],6(6)[6]
CDC42SE1,3(2)[5],1(1)[1],2(1)[3],0(0)[0],1(0)[3]
CDC7,41(23)[522],13(6)[46],4(2)[6],0(0)[0],0(0)[0]
CDC73,10(8)[16],2(2)[2],1(1)[1],0(0)[0],0(0)[0]
CDCA8,20(11)[94],1(1)[1],2(2)[2],0(0)[0],3(2)[6]
CDCP2,63(27)[293],22(6)[40605],7(5)[13],0(0)[0],5(3)[7]
