#dragendb_gene	uptodate_gene
RP11-686G8.2	ATXN2-AS
RP11-203B9.4	ZNF451-AS1
EFTUD1	EFL1
RP11-815M8.1	LINC02257
RP11-510D19.1	LINC01541
RP11-21G15.1	KIAA0895LP1
C1orf234	TEX46
TCEB1P11	ELOCP11
XXbac-BPG308K3.6	LINC01623
CRHR1-IT1	LINC02210
RP11-218C14.2	CST9LP2
APOA1BP	NAXE
RP4-798A10.2	LINC01772
CXorf27	HYPM
RP11-142G1.2	CASC22
PRKRIRP4	THAP12P4
RP11-484D2.3	PPIAP41
AC015818.3	KRT17P7
CTD-2510F5.2	SPDYE22P
RP11-56I23.1	LINC02627
C1orf170	PERM1
RP11-123H22.1	LINC01309
PROL1	OPRPN
C17orf61-PLSCR3	TMEM256-PLSCR3
RP11-196D18.5	SEPT14P1
RP1-164F3.8	PPIAP90
RP11-445P17.6	ARL4AP3
C10orf35	FAM241B
RP11-585F1.2	SEPT14P8
RP11-59D5__B.2	SCAT8
CTD-2571E19.1	NARSP2
RP11-404L6.2	LINC02219
RP11-71E19.5	CCDC37-DT
RP11-573G6.2	RPL31P45
RP4-668G5.1	NFIA-AS2
AC069213.1	MUC20P1
CTD-2320B12.1	MTND5P35
DEFB109P3	DEFB109D
AC016737.1	RPSAP24
RP11-503K16.2	RAP1BP1
RP11-134D3.1	LINC02181
RP4-633H17.2	MTCO2P34
RP11-531A21.4	MTCO2P30
MRE11A	MRE11
RP11-466F5.8	TMCO1-AS1
RP4-635E8.1	RPL23AP17
RP11-368M16.4	BSNDP4
AC018742.1	LINC01822
PPY2	PPY2P
RP11-271O3.1	LINC01243
C14orf164	RNF212B
RP11-384J4.1	MIR4307HG
RP11-402L1.12	RPL21P88
SLMO2P1	PRELID3BP1
AC022431.1	RPL26P19
RP11-856M7.6	LINC01887
RP11-180I22.2	KCNMA1-AS2
RP11-24M17.3	PPIAP47
RP11-97E7.2	LINC02174
RP11-432M8.13	TAF11L14
RP11-463C8.5	FAM204DP
KLHL7-AS1	KLHL7-DT
FAM46C	TENT5C
AC009892.10	LILRB1-AS1
LL22NC03-75H12.2	LINC01644
TMEM35	TMEM35A
